esac_id,relationship,ca_only,end_date,last_reviewed,data_url,members_slug,members_ror
opg2023tib,,yes,2026-12-31,2026-05-28,https://docs.google.com/spreadsheets/d/e/2PACX-1vRorBEI-wguOWyBbHF8mWZlCO2sDxjLFUYY0IM4G6-RpXuW7H7DafkdfntIMzJoKtjd1Vuc8fZ5JZQq/pub?gid=684626521&single=true&output=csv,leibniz-hannover;uni-stuttgart,0304hq317;04aj4c181;04vnq7t77
oxf2024tum,,yes,2026-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vSssMJ9eJhv_LaGxwOAPbM5o5yDHtu2ONnTndAVECYVMyZfzRvZtMFQRAQD41mmKjYmHoPu3_nPRv0e/pub?gid=684626521&single=true&output=csv,tu-munich,02kkvpp62
oxf2025braunschweig,,yes,2027-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vSahSOY4Xho2eKztHbVL3EFeey1K1VW5Iwlm2CTNIwX6i___nLr0006JPEjGG9xjwnL8BU5M8K_41l4/pub?gid=684626521&single=true&output=csv,tu-braunschweig,010nsgg66
portpress2025tib,,yes,2027-12-03,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vQO20OxXCfbabpDPGuIzdGs2eKScUQ4TXhnmvyo5-mYlfA5s1xUFVdYJwnqijsNJkI1uSaF4NsOYFdb/pub?gid=684626521&single=true&output=csv,tu-darmstadt,05n911h24
rsc2024tib,,yes,2027-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vTOG5wQkOyBKLy3-yrnj74gVIhVGvgBaoFmVWwMWcsAYBP7BPZ8W4loyvaki-nK_kji66As8OhtHHo8/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
rup2024zbmed,,yes,2026-12-31,2026-05-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vSRNJyOIf2_QOlBdqENQiT4zSf2ci5qv9oESAy9Dr9ks-qpDx6QhNfIt0Ap1YSN3EsyIXKAmTQSFBAP/pub?gid=684626521&single=true&output=csv,tu-darmstadt;tu-dresden,03wf51b65;05n911h24
sage2026gac,IMechE,yes,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vS44vZJ1QqgYtZS3_gadB-ihkhQs1OWexPd5XIcxvSR9mBQBkLdKlR5NYTrSGRzjklU_Yr_M8ZLsXiX/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;03wf51b65;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
sage2026gac,Premier 2026,yes,2028-12-31,2026-06-24,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ2GXa84DKrfF9yMtRXens3OEqHNX-Axuq-t0rkr7abgU1Pmm6UUNe3KI8H0opbJV0CQfBfTHewr4w4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;03wf51b65;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
sage2026gac,RSM,yes,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vQikZX6cUCigL5VjlOGFO3Fsm3dfxhP2a6I6Ott-oj_dU1X6OsL8qTnm4iKZ1ew7PcYrAYrbdO0t4Rc/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-braunschweig;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;03wf51b65;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
sn2024deal,,yes,2028-12-31,2026-06-04,https://docs.google.com/spreadsheets/d/e/2PACX-1vSTnXIQ9sXzkETUdAB9xwrgxa2lWxjfB4e7m7U6_xP_H4aTUviHVMdaa2rgVlrRBdhn7G_68p_r2CtT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
sn2025gac,,yes,2028-12-31,2026-06-15,https://docs.google.com/spreadsheets/d/e/2PACX-1vR3zMq6LTogcP7jElE5E60F-QLwcBLgfZqDzX9_bSpBCAWtBHzvPkSEZBHWEr6CipenfhcuSYuKZdsT/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-munich;uni-stuttgart,02kkvpp62;0304hq317;03v4gjf40;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
spie2024tib,,yes,2026-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlvLIPWDV5jgZ7UiYypRHuuOtfGeHxR4Wd7gXdANrTbnj0xcbM18mbSYu2-Dci31BoiWR9pkkKFFOp/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;tu-dresden;uni-stuttgart,0304hq317;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77
tf2024zbw,,yes,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtONT2327w3_yKoRkj9XwFrvzjQ49LAKsdNtCIayxexNPYZdDdVkSbuKkQ_1diG6vdOFs_AyvY0gqS/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
trs2026tib,Package A,yes,2026-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vT30B8RCRrKwiV_MPrkR20O5BLUPXoKDf3wXDRIGIU5hjuLj_r8gN9rzpnYMokCXikehWUfEGO2o-1L/pub?gid=684626521&single=true&output=csv,leibniz-hannover,04aj4c181
trs2026tib,Package S,yes,2026-12-31,2026-05-05,https://docs.google.com/spreadsheets/d/e/2PACX-1vRgIT66jDkrPZGKAdIt9xfaxBxy1A6VIGSKUznyjlBrven7NiZ118r12ZQNYM57F3nOi9GAWbcZdc2D/pub?gid=684626521&single=true&output=csv,uni-stuttgart,04vnq7t77
ttp2024tib,,yes,2026-12-31,2026-05-29,https://docs.google.com/spreadsheets/d/e/2PACX-1vTnAwtIdmAE9dlBWJMvgV8shgj_BkmDUgwAQ_yCs_zV_mN5cw9mJjxDvp00-yWWAYxKpGNmrIoh6MPD/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;uni-stuttgart,0304hq317;04aj4c181;04t3en479;04vnq7t77;04xfq0f34
wiley2024deal,,yes,2028-12-31,2026-05-21,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDMte3KF7yXk6M3skE4PNikV9sXUgTfTlLZgSbgy3Py-CLpYq69HpnCmYIbuhI8V5oLFHdPphEcd4/pub?gid=684626521&single=true&output=csv,kit;leibniz-hannover;rwth-aachen;tu-berlin;tu-braunschweig;tu-darmstadt;tu-dresden;tu-munich;uni-stuttgart,010nsgg66;02kkvpp62;0304hq317;03v4gjf40;03wf51b65;042aqky30;04aj4c181;04t3en479;04vnq7t77;04xfq0f34;05n911h24
